search_term,decision,recommended_action,campaign,ad_group,suggested_ad_group,clicks,impressions,cost,conversions,reason,client_prompt
pediatric arfid specialist near me,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
pediatric neuro psychologist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Neuropsychology is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
pediatric ot near me,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
pediatric psychologist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,0.0,7.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
pediatric psychology near me,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
pediatric therapists,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
physcologist near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
polish psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,5.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
pre marital counselling near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
premarital counselors near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psicologa near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psicologo near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psych doctors near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psych near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psych northwest near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psych nurse practitioner near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psych provider near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychiatric assessment near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychiatric evaluation near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychiatric office near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychiatric practices near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychiatrist and therapist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
psychiatrist for kids near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,9.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
psychiatrist in my area,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,4.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
psychiatrist near me accepting new patients,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,3.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
psychoanalysis near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Informational therapy research query without enough waste signal.,"Reply Focus, Keep, Exclude, or Geo."
psychological clinic near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychological evaluation near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,5.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychological near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychological services near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychologist for children,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
psychologist nearby,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
psychologist psychologist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
psychologist therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,3.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
psychologist therapy,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,3.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
psychology clinics near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychology near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychology therapists,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
psychology today psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
psychosexual evaluation near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psychosis psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
psyd near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
ptsd treatment,Keep,Continue observing,TheraPPC - Regional,PTSD Therapy - Near Me,Trauma Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
rockin the rainbow chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
sex therapists near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Sex therapy is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
smart love chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
somatic near me,Keep,Continue observing,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
somatic practitioner near me,Keep,Continue observing,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
somatic therapist,Keep,Continue observing,TheraPPC - Regional,EMDR Therapy - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
stella mental health near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
stride chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
teenage psychologist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
terapia near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
terapista o terapeuta cerca de mi,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
tgerapy near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
the place for children with autism bronzeville,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.,"Reply Focus, Keep, Exclude, or Geo."
the place for children with autism chicago,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.,"Reply Focus, Keep, Exclude, or Geo."
the place for children with autism river north,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.,"Reply Focus, Keep, Exclude, or Geo."
theapy near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
therapeutic art near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
therapist for kids,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapist for mental health,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapist in person,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapist person,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapist psychologist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
theraplay chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
therapost near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
therapy for children,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapy for kids,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,6.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapy for teenagers,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,3.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapy for teens,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapy offices,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therapy places,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
therpy near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
therqpy near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
thriveworks near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
toddler behavior specialist near me,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
top rated psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
total spectrum chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
tuesday's child chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
tuesdays child chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
visit a therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
westside children's therapy mokena,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
where can i get emdr therapy,Keep,Continue observing,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,1.0,0.0,0.0,Informational therapy research query without enough waste signal.,"Reply Focus, Keep, Exclude, or Geo."
where to find a therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
where to get a mental health evaluation near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
where to seek professional help,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
who does emdr therapy,Keep,Continue observing,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
youth mental health services near me,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
